2015-09-01 18:25:27.957 DEBUG org.droidmate.exploration.ApiLogsReader  apiLogs# 1
2015-09-01 18:25:27.959 DEBUG org.droidmate.device.AndroidDevice       getGuiSnapshot()
2015-09-01 18:25:28.169 DEBUG org.droidmate.device.AndroidDevice       readLogcatMessages(tag: org.droidmate.uiad)
2015-09-01 18:25:28.213 DEBUG org.droidmate.device.AndroidDevice       clearLogcat()
2015-09-01 18:25:28.241 DEBUG o.d.exploration.ExplorationStrategy      decide(ExplorationActionRunResult{successful=true, snapshot=UiautomatorWindowDump{at.markushi.expensemanager. Widgets# 67}, DeviceLogs{apiLogs#=1, containsMonitorInitMsgs=false}, exception=MissingDeviceException})
2015-09-01 18:25:28.246 INFO  o.d.exploration.ExplorationStrategy        0m 10s /   1m  0s i:    6 <ExplAct LC? 0 Wdgt:FrameLayout/""/""/[400,667]>
2015-09-01 18:25:28.248 DEBUG org.droidmate.device.AndroidDevice       readLogcatMessages(tag: Monitor_init)
2015-09-01 18:25:28.289 DEBUG org.droidmate.device.AndroidDevice       readLogcatMessages(tag: Instrumentation)
2015-09-01 18:25:28.323 DEBUG org.droidmate.exploration.ApiLogsReader  getAndClearCurrentApiLogsFromMonitorTcpServer(deviceTimeDiff)
2015-09-01 18:25:28.323 DEBUG org.droidmate.device.AndroidDevice       readAndClearMonitorTcpMessages()
2015-09-01 18:25:28.343 DEBUG org.droidmate.exploration.ApiLogsReader  apiLogs# 0
2015-09-01 18:25:28.345 DEBUG org.droidmate.device.AndroidDevice       perform(ClickGuiAction{400 667 long: false})
2015-09-01 18:25:30.474 DEBUG org.droidmate.exploration.ApiLogsReader  getAndClearCurrentApiLogsFromMonitorTcpServer(deviceTimeDiff)
2015-09-01 18:25:30.474 DEBUG org.droidmate.device.AndroidDevice       readAndClearMonitorTcpMessages()
2015-09-01 18:25:30.490 DEBUG org.droidmate.exploration.ApiLogsReader  apiLogs# 0
2015-09-01 18:25:30.491 DEBUG org.droidmate.device.AndroidDevice       getGuiSnapshot()
2015-09-01 18:25:30.587 DEBUG org.droidmate.device.AndroidDevice       readLogcatMessages(tag: org.droidmate.uiad)
2015-09-01 18:25:30.638 DEBUG org.droidmate.device.AndroidDevice       clearLogcat()
2015-09-01 18:25:30.684 DEBUG o.d.exploration.ExplorationStrategy      decide(ExplorationActionRunResult{successful=true, snapshot=UiautomatorWindowDump{at.markushi.expensemanager. Widgets# 31}, DeviceLogs{apiLogs#=0, containsMonitorInitMsgs=false}, exception=MissingDeviceException})
2015-09-01 18:25:30.692 INFO  o.d.exploration.ExplorationStrategy        0m 12s /   1m  0s i:    7 <ExplAct LC? 0 Wdgt:Button/"7"/"at.markushi.expensemanager:id/digit_7"/[157,657]>
2015-09-01 18:25:30.695 DEBUG org.droidmate.device.AndroidDevice       readLogcatMessages(tag: Monitor_init)
