# minDate: 2014-01-22 (inferred from apk metadata) 
# maxDate: 2015-05-26 (inferred from apk metadata) 
Games > Educational     |     Top Free | 2 | 2014-08-22 | /jacobs/APKs/ca/ca.j/ca.jason/ca.jasonrtbond.shusgarden/1.3.3/ca.jasonrtbond.shusgarden.apk                                                              
Games > Educational     |     Top Free | 2 | 2014-10-10 | /jacobs/APKs/co/com./com.hugs/com.hugsnhearts.android_mynewbaby/1.0.0.0/com.hugsnhearts.android_mynewbaby.apk                                            
Games > Family          |     Top Free | 2 | 2014-03-31 | /jacobs/APKs/co/com./com.fox3/com.fox3d.skycups/1.0.22/com.fox3d.skycups.apk                                                                             
Games > Family          |     Top Free | 2 | 2014-09-20 | /jacobs/APKs/co/com./com.supe/com.supercell.hayday/1.20.125/com.supercell.hayday.apk                                                                     
Games > Family          |     Top Free | 2 | 2014-09-07 | /jacobs/APKs/co/com./com.kiba/com.kibakumba.spielaffe/1.0.14/com.kibakumba.spielaffe.apk                                                                 
Games > Live Wallpaper  |     Top Free | 1 | 2014-04-30 | /jacobs/APKs/co/com./com.aspi/com.aspiredwallpapers.pixelmonminecraft/1.0/com.aspiredwallpapers.pixelmonminecraft.apk                                    
Games > Live Wallpaper  |     Top Free | 1 | 2014-05-22 | /jacobs/APKs/co/com./com.ea.g/com.ea.games.simsfreeplay_row/2.9.9/com.ea.games.simsfreeplay_row.apk                                                      
Games > Live Wallpaper  |     Top Free | 1 | 2014-05-10 | /jacobs/APKs/co/com./com.play/com.playfree.penguinjump/2.91/com.playfree.penguinjump.apk                                                                 
Games > Music           |     Top Free | 1 | 2014-09-05 | /jacobs/APKs/co/com./com.gril/com.grillgames.guitarrockhero/1.0.8/com.grillgames.guitarrockhero.apk                                                      
Games > Music           |     Top Free | 1 | 2014-09-13 | /jacobs/APKs/co/com./com.game/com.gamestar.perfectpiano/6.1.9/com.gamestar.perfectpiano.apk                                                              
Games > Music           |     Top Free | 1 | 2014-04-04 | /jacobs/APKs/co/com./com.disn/com.disney.mysingingmuppets.goo/1.1.4/com.disney.mysingingmuppets.goo.apk                                                  
Games > Puzzle          |     Top Free | 1 | 2014-09-17 | /jacobs/APKs/co/com./com.lcmo/com.lcmobileapp.escapetheprisonroom/4/com.lcmobileapp.escapetheprisonroom.apk                                              
Games > Puzzle          |     Top Free | 1 | 2014-08-20 | /jacobs/APKs/co/com./com.mobi/com.mobirix.playmaze/1.1.1/com.mobirix.playmaze.apk                                                                        
Games > Puzzle          |     Top Free | 1 | 2014-10-17 | /jacobs/APKs/co/com./com.game/com.gameforfun.jewels/1.0.2/com.gameforfun.jewels.apk                                                                      
Games > Racing          |     Top Free | 1 | 2014-04-28 | /jacobs/APKs/co/com./com.ScnS/com.ScnStudios.PoliceCarDriver3D/1.0.2/com.ScnStudios.PoliceCarDriver3D.apk                                                
Games > Racing          |     Top Free | 1 | 2014-09-17 | /jacobs/APKs/co/com./com.cieg/com.ciegames.RacingRivals/2.0.0/com.ciegames.RacingRivals.apk                                                              
Games > Racing          |     Top Free | 1 | 2014-03-16 | /jacobs/APKs/co/com./com.cryp/com.cryptic.mountain.motor.city/1.2/com.cryptic.mountain.motor.city.apk                                                    
Games > Role Playing    |     Top Free | 1 | 2014-09-05 | /jacobs/APKs/co/com./com.tabt/com.tabtale.newbaby/1.0.0/com.tabtale.newbaby.apk                                                                          
Games > Role Playing    |     Top Free | 1 | 2014-08-30 | /jacobs/APKs/co/com./com.com2/com.com2us.smon.normal.freefull.google.kr.android.common/1.2.3/com.com2us.smon.normal.freefull.google.kr.android.common.apk
Games > Role Playing    |     Top Free | 1 | 2014-04-20 | /jacobs/APKs/co/com./com.Ugam/com.Ugamehome.StillandWarHD/1.6.0/com.Ugamehome.StillandWarHD.apk                                                          
Games > Simulation      |     Top Free | 1 | 2014-04-19 | /jacobs/APKs/co/com./com.ther/com.therisgames.fs2014.free/3.3/com.therisgames.fs2014.free.apk                                                            
Games > Simulation      |     Top Free | 1 | 2014-09-16 | /jacobs/APKs/co/com./com.ea.g/com.ea.games.simsfreeplay_row/5.7.0/com.ea.games.simsfreeplay_row.apk                                                      
Games > Simulation      |     Top Free | 1 | 2014-08-08 | /jacobs/APKs/co/com./com.ludi/com.ludia.dragons/1.3.9/com.ludia.dragons.apk                                                                              
Games > Sports          |     Top Free | 1 | 2014-05-23 | /jacobs/APKs/co/com./com.fifa/com.fifa.stickeralbum.android/1.0/com.fifa.stickeralbum.android.apk                                                        
Games > Sports          |     Top Free | 1 | 2014-05-02 | /jacobs/APKs/co/com./com.acto/com.actoz.OneForEleven/1.4.0/com.actoz.OneForEleven.apk                                                                    
Games > Sports          |     Top Free | 1 | 2014-03-20 | /jacobs/APKs/co/com./com.ezon/com.ezone.Snowboard/3.0.2/com.ezone.Snowboard.apk                                                                          
Games > Sports Games    |     Top Free | 1 | 2014-03-01 | /jacobs/APKs/co/com./com.gira/com.giraffegames.realtabletennis/1.5/com.giraffegames.realtabletennis.apk                                                  
Games > Sports Games    |     Top Free | 1 | 2014-03-13 | /jacobs/APKs/co/com./com.ea.g/com.ea.game.fifa14_row/1.3.3/com.ea.game.fifa14_row.apk                                                                    
Games > Sports Games    |     Top Free | 1 | 2014-02-13 | /jacobs/APKs/co/com./com.tang/com.tangram3D.WinterSports/1.5/com.tangram3D.WinterSports.apk                                                              
Games > Strategy        |     Top Free | 1 | 2014-09-17 | /jacobs/APKs/co/com./com.supe/com.supercell.clashofclans/6.253.5/com.supercell.clashofclans.apk                                                          
Games > Strategy        |     Top Free | 2 | 2014-04-02 | /jacobs/APKs/co/com./com.luca/com.lucasarts.starwarsccg_goo/1.1.4/com.lucasarts.starwarsccg_goo.apk                                                      
Games > Strategy        |     Top Free | 2 | 2014-10-08 | /jacobs/APKs/co/com./com.luca/com.lucasarts.starts_goo/2.1.3/com.lucasarts.starts_goo.apk                                                                
Games > Trivia          |     Top Free | 1 | 2014-08-13 | /jacobs/APKs/se/se.f/se.feome/se.feomedia.quizkampen.de.lite/1.4.9/se.feomedia.quizkampen.de.lite.apk                                                    
Games > Trivia          |     Top Free | 2 | 2014-09-16 | /jacobs/APKs/qu/ques/quess.so/quess.song.music.pop.quiz/3.1.7/quess.song.music.pop.quiz.apk                                                              
Games > Trivia          |     Top Free | 2 | 2014-06-24 | /jacobs/APKs/co/com./com.henn/com.henno.wm.quiz/1.3/com.henno.wm.quiz.apk                                                                                
