# minDate: 2014-01-22 (inferred from apk metadata) 
# maxDate: 2015-05-26 (inferred from apk metadata) 
Games > Board           |     Top Free | 1 | 2014-03-31 | /jacobs/APKs/co/com./com.week/com.weekendgames.AbaloneFree/1.0.29/com.weekendgames.AbaloneFree.apk                                                                                                                                                                             
Games > Board           |     Top Free | 1 | 2014-03-18 | /jacobs/APKs/co/com./com.kira/com.kiragames.unblockmefree/1.3.6.7/com.kiragames.unblockmefree.apk                                                                                                                                                                              
Games > Board           |     Top Free | 1 | 2014-09-03 | /jacobs/APKs/uk/uk.c/uk.co.ai/uk.co.aifactory.chessfree/2.12/uk.co.aifactory.chessfree.apk                                                                                                                                                                                     
Games > Board           |     Top Free | 1 | 2014-04-30 | /jacobs/APKs/mk/mkis/mkisly.c/mkisly.chess/5.1.1/mkisly.chess.apk                                                                                                                                                                                                              
Games > Board           |     Top Free | 1 | 2014-09-24 | /jacobs/APKs/mk/mkis/mkisly.c/mkisly.corners/4.2.0/mkisly.corners.apk                                                                                                                                                                                                          
Games > Brain & Puzzle  |     Top Free | 1 | 2014-01-22 | /jacobs/APKs/se/se.f/se.feome/se.feomedia.quizkampen.de.lite/1.3.2/se.feomedia.quizkampen.de.lite.apk                                                                                                                                                                          
Games > Brain & Puzzle  |     Top Free | 2 | 2014-01-31 | /jacobs/APKs/we/wer./wer.wird/wer.wird.millionaer.free/1.5/wer.wird.millionaer.free.apk                                                                                                                                                                                        
Games > Brain & Puzzle  |     Top Free | 2 | 2014-01-24 | /jacobs/APKs/co/com./com.fres/com.freshgames.escapethetitanic/1.0.14/com.freshgames.escapethetitanic.apk                                                                                                                                                                       
Games > Brain & Puzzle  |     Top Free | 2 | 2014-03-09 | /jacobs/APKs/co/com./com.turb/com.turbochilli.unrollme/1.4/com.turbochilli.unrollme.apk                                                                                                                                                                                        
Games > Brain & Puzzle  |     Top Free | 3 | 2014-01-28 | /jacobs/APKs/de/de.l/de.lotum/de.lotum.whatsinthefoto.de/2.3.1/de.lotum.whatsinthefoto.de.apk                                                                                                                                                                                  
Games > Card            |     Top Free | 1 | 2014-04-07 | /jacobs/APKs/nl/nl.o/nl.omniv/nl.omnivision.halligalliFREE/1.1.0.0/nl.omnivision.halligalliFREE.apk                                                                                                                                                                            
Games > Card            |     Top Free | 1 | 2014-10-25 | /jacobs/APKs/co/com./com.mobi/com.mobilityware.solitaire/3.1.2/com.mobilityware.solitaire.apk                                                                                                                                                                                  
Games > Card            |     Top Free | 1 | 2014-09-04 | /jacobs/APKs/co/com./com.prga/com.prgames.texasholdem.livepoker/1.02/com.prgames.texasholdem.livepoker.apk                                                                                                                                                                     
Games > Card            |     Top Free | 1 | 2014-09-13 | /jacobs/APKs/co/com./com.spac/com.spacegame.solitaire/1.1.0/com.spacegame.solitaire.apk                                                                                                                                                                                        
Games > Card            |     Top Free | 1 | 2014-08-29 | /jacobs/APKs/co/com./com.king/com.king.pyramidsolitairesaga/1.4.2/com.king.pyramidsolitairesaga.apk                                                                                                                                                                            
Games > Cards & Casino  |     Top Free | 1 | 2014-02-10 | /jacobs/APKs/co/com./com.mobi/com.mobilityware.solitaire/3.0/com.mobilityware.solitaire.apk                                                                                                                                                                                    
Games > Cards & Casino  |     Top Free | 1 | 2014-01-22 | /jacobs/APKs/co/com./com.game/com.gamevil.kaizinrumble/1.1.0/com.gamevil.kaizinrumble.apk                                                                                                                                                                                      
