# minDate: 2014-01-22 (inferred from apk metadata) 
# maxDate: 2015-05-26 (inferred from apk metadata) 
Communication           |     Top Free |  8 | 2014-08-21 | /jacobs/APKs/de/de.e/de.eplus/de.eplus.mappecc.client.android.alditalk/2.5.1/de.eplus.mappecc.client.android.alditalk.apk                                                                                                                                                      
Communication           |     Top Free |  9 | 2014-09-04 | /jacobs/APKs/co/com./com.ksmo/com.ksmobile.cb/5.0.72/com.ksmobile.cb.apk                                                                                                                                                                                                       
Communication           |     Top Free | 10 | 2014-09-04 | /jacobs/APKs/ki/kik./kik.andr/kik.android/7.4.0.116/kik.android.apk                                                                                                                                                                                                            
Communication           |     Top Free | 10 | 2014-09-17 | /jacobs/APKs/co/com./com.goog/com.google.android.apps.hangoutsdialer/0.1.74972069/com.google.android.apps.hangoutsdialer.apk                                                                                                                                                   
Communication           |     Top Free | 11 | 2014-08-29 | /jacobs/APKs/co/com./com.yaho/com.yahoo.mobile.client.android.mail/4.6.1/com.yahoo.mobile.client.android.mail.apk                                                                                                                                                              
Communication           |     Top Free | 11 | 2014-08-08 | /jacobs/APKs/co/com./com.smil/com.smileysfw/1.0.11/com.smileysfw.apk                                                                                                                                                                                                           
Communication           |     Top Free | 11 | 2014-08-26 | /jacobs/APKs/jp/jp.n/jp.naver/jp.naver.line.android/4.6.1/jp.naver.line.android.apk                                                                                                                                                                                            
Communication           |     Top Free | 13 | 2014-02-25 | /jacobs/APKs/co/com./com.tenc/com.tencent.mm/5.2/com.tencent.mm.apk                                                                                                                                                                                                            
Communication           |     Top Free | 13 | 2014-09-20 | /jacobs/APKs/or/org./org.tele/org.telegram.messenger/1.8.3/org.telegram.messenger.apk                                                                                                                                                                                          
Communication           |     Top Free | 14 | 2014-06-20 | /jacobs/APKs/co/com./com.ands/com.andsolution.whatsplus/1.0/com.andsolution.whatsplus.apk                                                                                                                                                                                      
Communication           |     Top Free | 14 | 2014-07-21 | /jacobs/APKs/co/com./com.what/com.whatsapp.update.ouchapps/1.1/com.whatsapp.update.ouchapps.apk                                                                                                                                                                                
Communication           |     Top Free | 14 | 2014-10-08 | /jacobs/APKs/de/de.a/de.avm.a/de.avm.android.fritzapp/1.87/de.avm.android.fritzapp.apk                                                                                                                                                                                         
Education               |     Top Free |  1 | 2014-08-21 | /jacobs/APKs/co/com./com.duol/com.duolingo/2.7.2/com.duolingo.apk                                                                                                                                                                                                              
Education               |     Top Free |  1 | 2014-03-12 | /jacobs/APKs/co/com./com.unic/com.unicef.maranetwork/1.1/com.unicef.maranetwork.apk                                                                                                                                                                                            
Education               |     Top Free |  1 | 2014-08-13 | /jacobs/APKs/co/com./com.babb/com.babbel.mobile.android.en/4.3.3/com.babbel.mobile.android.en.apk                                                                                                                                                                              
Education               |     Top Free |  1 | 2014-09-03 | /jacobs/APKs/pr/pr0g/pr0gram3/pr0gram3r72.ClashOfClans_Map/1/pr0gram3r72.ClashOfClans_Map.apk                                                                                                                                                                                  
Education               |     Top Free |  2 | 2014-09-24 | /jacobs/APKs/co/com./com.grup/com.grupet.web.app/1.2.0/com.grupet.web.app.apk                                                                                                                                                                                                  
Education               |     Top Free |  2 | 2014-09-18 | /jacobs/APKs/co/com./com.newb/com.newbitmobile.handytimetable/2.2.6/com.newbitmobile.handytimetable.apk                                                                                                                                                                        
Education               |     Top Free |  2 | 2014-09-25 | /jacobs/APKs/ai/air./air.de.f/air.de.fahren_lernen.app/3.1.2/air.de.fahren_lernen.app.apk                                                                                                                                                                                      
Education               |     Top Free |  2 | 2014-06-25 | /jacobs/APKs/de/de.l/de.lectu/de.lecturio.android/1.3.7/de.lecturio.android.apk                                                                                                                                                                                                
Education               |     Top Free |  4 | 2014-01-24 | /jacobs/APKs/co/com./com.ruby/com.rubycell.pianisthd/20142401/com.rubycell.pianisthd.apk                                                                                                                                                                                       
Education               |     Top Free |  4 | 2014-08-08 | /jacobs/APKs/de/de.d/de.deuts/de.deutscherfahrschulverlag.fsc/2.5.3/de.deutscherfahrschulverlag.fsc.apk                                                                                                                                                                        
Education               |     Top Free |  5 | 2014-09-03 | /jacobs/APKs/co/com./com.fahr/com.fahrschule.de/1.72/com.fahrschule.de.apk                                                                                                                                                                                                     
Education               |     Top Free |  5 | 2014-09-05 | /jacobs/APKs/co/com./com.wond/com.wonder/1.10/com.wonder.apk                                                                                                                                                                                                                   
Education               |     Top Free |  5 | 2014-10-26 | /jacobs/APKs/de/de.e/de.ejbgu/de.ejbguru.android.formulaApp/2.6.1/de.ejbguru.android.formulaApp.apk                                                                                                                                                                            
Education               |     Top Free |  5 | 2014-09-06 | /jacobs/APKs/ti/tipi/tipitap./tipitap.dover.huebert/6.1/tipitap.dover.huebert.apk                                                                                                                                                                                              
Education               |     Top Free |  6 | 2014-08-01 | /jacobs/APKs/co/com./com.devu/com.devuni.flashlight.warninglights/1.2.2/com.devuni.flashlight.warninglights.apk                                                                                                                                                                
Education               |     Top Free |  6 | 2014-10-28 | /jacobs/APKs/co/com./com.socr/com.socratica.mobile.countries/1.13.0/com.socratica.mobile.countries.apk                                                                                                                                                                         
Education               |     Top Free |  6 | 2014-09-16 | /jacobs/APKs/ai/air./air.nn.m/air.nn.mobile.app.main/1.3.0/air.nn.mobile.app.main.apk                                                                                                                                                                                          
Education               |     Top Free |  7 | 2014-08-21 | /jacobs/APKs/co/com./com.apps/com.apps4you2go.learning_car/1.5.4/com.apps4you2go.learning_car.apk                                                                                                                                                                              
Education               |     Top Free |  7 | 2014-10-10 | /jacobs/APKs/co/com./com.Supe/com.SuperAwesome.DinoTower/1.0.8/com.SuperAwesome.DinoTower.apk                                                                                                                                                                                  
Education               |     Top Free |  7 | 2014-09-18 | /jacobs/APKs/to/tobi/tobi.too/tobi.tools.timetable/3.7.2/tobi.tools.timetable.apk                                                                                                                                                                                              
Entertainment           |     Top Free |  1 | 2014-08-02 | /jacobs/APKs/co/com./com.matt/com.mattia.videos.manager/1.01/com.mattia.videos.manager.apk                                                                                                                                                                                     
Entertainment           |     Top Free |  1 | 2014-09-13 | /jacobs/APKs/co/com./com.mian/com.miantan.myoface/3.3.0/com.miantan.myoface.apk                                                                                                                                                                                                
Entertainment           |     Top Free |  1 | 2014-05-12 | /jacobs/APKs/de/de.d/de.digam/de.digame.esc/2.1.1 (58fdf8c)/de.digame.esc.apk                                                                                                                                                                                                  
Entertainment           |     Top Free |  1 | 2014-08-23 | /jacobs/APKs/de/de.p/de.prosi/de.prosiebensat1digital.seventv/1.2/de.prosiebensat1digital.seventv.apk                                                                                                                                                                          
Entertainment           |     Top Free |  1 | 2014-08-28 | /jacobs/APKs/de/de.r/de.rtl.v/de.rtl.video/3.0.6/de.rtl.video.apk                                                                                                                                                                                                              
Entertainment           |     Top Free |  2 | 2014-05-07 | /jacobs/APKs/co/com./com.fakt/com.faktastisch.app/1.2/com.faktastisch.app.apk                                                                                                                                                                                                  
Entertainment           |     Top Free |  2 | 2014-09-22 | /jacobs/APKs/co/com./com.netf/com.netflix.mediaclient/3.7.2 build 1755/com.netflix.mediaclient.apk                                                                                                                                                                             
Entertainment           |     Top Free |  3 | 2014-06-20 | /jacobs/APKs/da/dast/dastudio/dastudios.PlayTube/1.2/dastudios.PlayTube.apk                                                                                                                                                                                                    
Entertainment           |     Top Free |  3 | 2014-09-09 | /jacobs/APKs/co/com./com.digi/com.digidust.elokence.akinator.freemium/2.46/com.digidust.elokence.akinator.freemium.apk                                                                                                                                                         
